PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_19402	chr4	104355988	104356145	+	107	NA	Intergenic	Intergenic	-11472	NR_104385	13131	Mm.289682	NM_010014	ENSMUSG00000028519	Dab1	AI956902|C630028C02Rik|scm|scr|scrambler|yot	disabled 1	protein-coding
Peak_18127	chr15	89957013	89957307	+	107	NA	Intergenic	Intergenic	-115300	NM_018803	54526	Mm.261601	NM_018803	ENSMUSG00000063260	Syt10	-	synaptotagmin X	protein-coding
Peak_19075	chr2	94753215	94753357	+	107	NA	Intergenic	Lx9|LINE|L1	-315100	NM_007466	11800	Mm.181824	NM_007466	ENSMUSG00000027193	Api5	AAC-11|AI196452|API-5	apoptosis inhibitor 5	protein-coding
Peak_19805	chr5	89881528	89881806	+	107	NA	intron (NM_001081401, intron 1 of 21)	intron (NM_001081401, intron 1 of 21)	1667	NM_001081401	330119	Mm.133062	NM_177872	ENSMUSG00000043635	Adamts3	1100001H14Rik|6330442E02Rik	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	protein-coding
Peak_18409	chr1	76389683	76389867	+	107	NA	Intergenic	Intergenic	-99358	NR_038012	620079	Mm.378379	NR_038012	ENSMUSG00000100553	Gm17751	-	predicted gene, 17751	ncRNA
Peak_21250	chr11	84145274	84145415	+	107	NA	Intergenic	Intergenic	-15776	NM_172562	217031	Mm.45159	NM_172562	ENSMUSG00000018651	Tada2a	AV319371|D030022J10Rik|Tada2l	transcriptional adaptor 2A	protein-coding
Peak_16232	chr8	47408673	47409035	+	107	NA	Intergenic	Intergenic	-56506	NM_175162	71069	Mm.23973	NM_175162	ENSMUSG00000038143	Stox2	4933409N07Rik|AI449080|AI835114|mKIAA1392	storkhead box 2	protein-coding
Peak_18971	chr2	44527467	44527741	+	107	NA	Intergenic	Intergenic	334018	NM_172662	227835	Mm.314312	NM_172662	ENSMUSG00000036890	Gtdc1	E330008O22Rik	glycosyltransferase-like domain containing 1	protein-coding
Peak_16095	chr18	89769380	89769534	+	107	NA	promoter-TSS (NM_001039173)	promoter-TSS (NM_001039173)	-321	NM_001039173	623279	Mm.447164	NM_001039173	ENSMUSG00000073514	Dok6	Dok-6	docking protein 6	protein-coding
Peak_20882	chr9	107228980	107229222	+	107	NA	intron (NM_153413, intron 1 of 52)	RSINE1|SINE|B4	2808	NM_153413	208869	Mm.150259	NM_153413	ENSMUSG00000039716	Dock3	MOCA|PBP|mKIAA0299	dedicator of cyto-kinesis 3	protein-coding
Peak_16892	chr11	24087169	24087648	+	107	NA	intron (NM_016707, intron 2 of 4)	intron (NM_016707, intron 2 of 4)	6713	NM_001159290	14025	Mm.53687	NM_016707	ENSMUSG00000000861	Bcl11a	2810047E18Rik|BCL-11A|Ctip1|D930021L15Rik|Evi9|Evi9a|Evi9b|Evi9c|mKIAA1809	B cell CLL/lymphoma 11A (zinc finger protein)	protein-coding
Peak_19492	chr4	43794480	43794674	+	107	NA	Intergenic	L1_Mur3|LINE|L1	-12250	NR_033638	29848	Mm.424497	NR_033638	ENSMUSG00000111338	Olfr29-ps1	MOR262-11|MTPCR52|Olfr158|Olfr29|Olfr37d|mOR37d	olfactory receptor 29, pseudogene 1	pseudo
Peak_21134	chrX	60547978	60548116	+	107	NA	promoter-TSS (NM_001271548)	promoter-TSS (NM_001271548)	39	NM_001271548	279618	Mm.296522	NM_001271548		Gm715	-	predicted gene 715	protein-coding
Peak_21211	chr14	34895000	34895120	+	107	NA	TTS (NR_029774)	TTS (NR_029774)	451	NR_029774	723847		NR_029774	ENSMUSG00000065481	Mir346	Mirn346|mir-346|mmu-mir-346	microRNA 346	ncRNA
Peak_16448	chr3	54796126	54796338	+	107	NA	intron (NM_019483, intron 5 of 5)	intron (NM_019483, intron 5 of 5)	11559	NM_133231	170767	Mm.185735	NM_133231	ENSMUSG00000036615	Rfxap	5730495K23Rik	regulatory factor X-associated protein	protein-coding
Peak_16535	chr5	147309358	147309761	+	107	NA	Intergenic	Intergenic	-2310	NM_007673	12591	Mm.20358	NM_007673	ENSMUSG00000029646	Cdx2	Cdx-2	caudal type homeobox 2	protein-coding
Peak_17975	chr15	11890267	11890384	+	107	NA	intron (NM_001039181, intron 2 of 7)	intron (NM_001039181, intron 2 of 7)	15349	NM_001039181	18162	Mm.25259	NM_008728	ENSMUSG00000022206	Npr3	ANP-C|ANPR-C|EF-2|NPR-C|lgj|stri	natriuretic peptide receptor 3	protein-coding
Peak_18539	chr18	4368368	4368523	+	107	NA	intron (NR_040328, intron 3 of 3)	ORR1E|LTR|ERVL-MaLR	-7147	NM_001361009	67440	Mm.49826	NM_026157	ENSMUSG00000024234	Mtpap	0610027A18Rik|AW551379|Papd1	mitochondrial poly(A) polymerase	protein-coding
Peak_21337	chr8	60869041	60869157	+	107	NA	Intergenic	Intergenic	-21294	NM_001357270	72612	Mm.25263	NM_028299	ENSMUSG00000038005	Hpf1	2700029M09Rik|C230006B22Rik|C4orf27	histone PARylation factor 1	protein-coding
Peak_16316	chr11	98838742	98838966	+	107	NA	intron (NM_001080925, intron 1 of 14)	intron (NM_001080925, intron 1 of 14)	2069	NM_001080925	268480	Mm.340766	NM_001080925	ENSMUSG00000038020	Rapgefl1	B230105J10	Rap guanine nucleotide exchange factor (GEF)-like 1	protein-coding
Peak_16373	chr2	118746568	118746775	+	107	NA	3' UTR (NM_001301269, exon 1 of 1)	3' UTR (NM_001301269, exon 1 of 1)	913	NM_001301269	100043272	Mm.398072	NM_001301269	ENSMUSG00000074918	Inafm2	5430417L22Rik	InaF motif containing 2	protein-coding
Peak_20402	chr8	119202695	119202854	+	107	NA	intron (NM_019707, intron 8 of 13)	intron (NM_019707, intron 8 of 13)	-141764	NM_024219	68196	Mm.358714	NM_024219	ENSMUSG00000031839	Hsbp1	0610007A03Rik|AA408769|Hsp25	heat shock factor binding protein 1	protein-coding
Peak_21131	chrX	51681994	51682210	+	107	NA	promoter-TSS (NM_001290467)	promoter-TSS (NM_001290467)	-500	NM_001290467	50786	Mm.252561	NM_015819	ENSMUSG00000062184	Hs6st2	6OST2	heparan sulfate 6-O-sulfotransferase 2	protein-coding
Peak_17606	chr13	41601989	41602117	+	107	NA	Intergenic	B3A|SINE|B2	-4163	NM_001163572	621976	Mm.259830	NM_001163572	ENSMUSG00000087370	Tmem170b	EG621976	transmembrane protein 170B	protein-coding
Peak_17902	chr14	72826676	72826830	+	107	NA	Intergenic	Intergenic	-116750	NM_207636	319448	Mm.205421	NM_207636	ENSMUSG00000033487	Fndc3a	1700094E19Rik|D14Ertd453e|F730017H24Rik|Fndc3|sys	fibronectin type III domain containing 3A	protein-coding
Peak_17836	chr1	43716335	43716450	+	107	NA	Intergenic	Intergenic	-14210	NM_024283	78896	Mm.50109	NM_024283	ENSMUSG00000026051	1500015O10Rik	Ecrg4	RIKEN cDNA 1500015O10 gene	protein-coding
Peak_18543	chr18	45267070	45267290	+	107	NA	Intergenic	Intergenic	-1680	NM_001312905	140492	Mm.411614	NM_080465	ENSMUSG00000054477	Kcnn2	KCa2.2|SK2|SKCA2|bc|fri	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	protein-coding
Peak_21021	chr9	73967672	73967924	+	107	NA	Intergenic	Intergenic	-34231	NM_001081153	208898	Mm.41035	NM_001081153	ENSMUSG00000062151	Unc13c	1500037O19Rik|AU019458|D9Ertd414e|Munc13-3|Unc13h3	unc-13 homolog C (C. elegans)	protein-coding
Peak_17666	chr13	74091085	74091283	+	107	NA	Intergenic	MTD|LTR|ERVL-MaLR	-28899	NM_028959	74470	Mm.73234	NM_028959	ENSMUSG00000021572	Cep72	2610029E11Rik|4933440J22Rik	centrosomal protein 72	protein-coding
Peak_17712	chr13	93569605	93569843	+	107	NA	Intergenic	Intergenic	68034	NM_016668	12116	Mm.329582	NM_016668	ENSMUSG00000074768	Bhmt	-	betaine-homocysteine methyltransferase	protein-coding
Peak_16486	chr8	111422373	111422587	+	107	NA	Intergenic	Intergenic	-27720	NR_105819								
Peak_19103	chr3	108942327	108942501	+	107	NA	intron (NM_001078646, intron 2 of 7)	MER31B|LTR|ERV1	1857	NM_001078646	66715	Mm.158124	NM_025723	ENSMUSG00000045662	Henmt1	4921515J06Rik|Hen1|mHEN1	HEN1 methyltransferase homolog 1 (Arabidopsis)	protein-coding
Peak_16086	chr18	58209995	58210211	+	107	NA	promoter-TSS (NM_010181)	promoter-TSS (NM_010181)	-177	NM_010181	14119	Mm.20271	NM_010181	ENSMUSG00000024598	Fbn2	BC063774|Fib-2|mKIAA4226|sne|sy	fibrillin 2	protein-coding
Peak_21169	chr18	15211320	15211433	+	107	NA	Intergenic	Intergenic	-59930	NM_134112	106931	Mm.329299	NM_134112	ENSMUSG00000036225	Kctd1	4933402K10Rik|AI661543|AW553000	potassium channel tetramerisation domain containing 1	protein-coding
Peak_19147	chr3	131892106	131892297	+	107	NA	Intergenic	L2c|LINE|L2	-193091	NM_020265	56811	Mm.103593	NM_020265	ENSMUSG00000028031	Dkk2	-	dickkopf WNT signaling pathway inhibitor 2	protein-coding
Peak_20749	chr8	77904760	77904906	+	107	NA	Intergenic	Intergenic	-180381	NM_010332	13617	Mm.283168	NM_010332	ENSMUSG00000031616	Ednra	AEA001|ET-AR|ETa|Gpcr10|Mhdaaea1	endothelin receptor type A	protein-coding
Peak_18987	chr2	50264088	50264317	+	107	NA	Intergenic	Intergenic	32599	NM_001348200	109129	Mm.29214	NM_133839	ENSMUSG00000026766	Mmadhc	2010311D03Rik|AI314967|CblD	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	protein-coding
Peak_18778	chr2	107027417	107027521	+	107	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	32182	NM_008045	14308	Mm.249525	NM_008045	ENSMUSG00000027120	Fshb	FSH|FSH-B|FSH-beta|Fshbeta	follicle stimulating hormone beta	protein-coding
Peak_16236	chr8	78433495	78433684	+	107	NA	3' UTR (NM_138944, exon 2 of 2)	3' UTR (NM_138944, exon 2 of 2)	3063	NM_138944	18997	Mm.234261	NM_138944	ENSMUSG00000031688	Pou4f2	Brn-3.2|Brn-3b|Brn3b|Pou4f-rs1|mBrn3-3R	POU domain, class 4, transcription factor 2	protein-coding
Peak_21331	chr8	26348501	26348653	+	107	NA	Intergenic	Intergenic	190408	NM_199042	73754	Mm.383241	NM_199042	ENSMUSG00000037214	Thap1	4833431A01Rik|AW490810	THAP domain containing, apoptosis associated protein 1	protein-coding
Peak_19006	chr2	62342487	62342637	+	107	NA	intron (NM_010074, intron 23 of 25)	intron (NM_010074, intron 23 of 25)	69669	NM_010074	13482	Mm.1151	NM_010074	ENSMUSG00000035000	Dpp4	Cd26|Dpp-4|THAM	dipeptidylpeptidase 4	protein-coding
Peak_19876	chr6	122409505	122409810	+	107	NA	Intergenic	Intergenic	18278	NR_152109	74269	Mm.81022	NR_152109	ENSMUSG00000040657	1700063H04Rik	-	RIKEN cDNA 1700063H04 gene	ncRNA
Peak_20315	chr8	107843989	107844182	+	107	NA	Intergenic	MERVL_2A-int|LTR|ERVL	-255603	NM_010817	17463	Mm.18347	NM_010817	ENSMUSG00000039067	Psmd7	AW107203|Mov-34|Mov34	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	protein-coding
Peak_16932	chr1	134254805	134254959	+	107	NA	Intergenic	Intergenic	-19425	NM_001039510	11539	Mm.298908	NM_009629	ENSMUSG00000042429	Adora1	A1-AR|A1AR|A1R|AA1R|AI848715|BB176431|Ri	adenosine A1 receptor	protein-coding
Peak_20193	chr7	62482158	62482301	+	107	NA	Intergenic	Intergenic	-17719	NM_013788	27412	Mm.422745	NM_013788	ENSMUSG00000070526	Peg12	Frat3	paternally expressed 12	protein-coding
Peak_16183	chr5	74950640	74950862	+	107	NA	intron (NR_045866, intron 1 of 4)	Lx2B2|LINE|L1	1557	NR_045866	619945	Mm.359372	NM_001037908	ENSMUSG00000072874	Gm6116	EG619945	predicted gene 6116	ncRNA
Peak_18518	chr18	37264220	37264406	+	107	NA	promoter-TSS (NM_053126)	promoter-TSS (NM_053126)	-685	NM_053126	93872	Mm.196703	NM_053126	ENSMUSG00000051663	Pcdhb1	PcdhbA	protocadherin beta 1	protein-coding
Peak_18564	chr18	53164819	53164998	+	107	NA	Intergenic	RSINE1|SINE|B4	-11384	NM_001357463	67804	Mm.252171	NM_026386	ENSMUSG00000034484	Snx2	0610030A03Rik	sorting nexin 2	protein-coding
Peak_16223	chr8	125960404	125960520	+	107	NA	Intergenic	Intergenic	-34640	NM_008430	16525	Mm.10800	NM_008430	ENSMUSG00000033998	Kcnk1	AI788889|TWIK-1	potassium channel, subfamily K, member 1	protein-coding
Peak_17413	chr12	63741036	63741174	+	107	NA	Intergenic	Lx3B|LINE|L1	733793	NM_001163271	623046	Mm.189552	NM_001163271	ENSMUSG00000043060	Fscb	EG623046	fibrous sheath CABYR binding protein	protein-coding
Peak_20976	chr9	49129528	49129680	+	107	NA	Intergenic	Intergenic	26825	NM_030709	80893	Mm.72799	NM_030709	ENSMUSG00000032268	Tmprss5	spinesin	transmembrane protease, serine 5 (spinesin)	protein-coding
Peak_20032	chr6	73341576	73341771	+	107	NA	Intergenic	ORR1B1-int|LTR|ERVL-MaLR	93168	NM_019879	56451	Mm.29845	NM_019879	ENSMUSG00000052738	Suclg1	1500000I01Rik|Sucla1	succinate-CoA ligase, GDP-forming, alpha subunit	protein-coding
Peak_17806	chr1	42583728	42583952	+	107	NA	Intergenic	Intergenic	110985	NR_027826	66297	Mm.45203	NM_183252	ENSMUSG00000060424	Pantr1	2610017I09Rik|Pou3f3os|linc-Brn1a	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1	ncRNA
Peak_17013	chr11	47991417	47991555	+	107	NA	Intergenic	Intergenic	-612184	NM_011891	24052	Mm.338890	NM_011891	ENSMUSG00000020354	Sgcd	35kDa|delta-SG	sarcoglycan, delta (dystrophin-associated glycoprotein)	protein-coding
Peak_19295	chr3	60852629	60852755	+	107	NA	Intergenic	Intergenic	-150093	NM_008772	18441	Mm.281452	NM_008772	ENSMUSG00000027765	P2ry1	P2Y1	purinergic receptor P2Y, G-protein coupled 1	protein-coding
Peak_20282	chr8	103051119	103051274	+	107	NA	Intergenic	Intergenic	-266085	NM_009866	12552	Mm.1571	NM_009866	ENSMUSG00000031673	Cdh11	Cad11|OSF-4	cadherin 11	protein-coding
Peak_16505	chr8	78426826	78426959	+	107	NA	Intergenic	Intergenic	9760	NM_138944	18997	Mm.234261	NM_138944	ENSMUSG00000031688	Pou4f2	Brn-3.2|Brn-3b|Brn3b|Pou4f-rs1|mBrn3-3R	POU domain, class 4, transcription factor 2	protein-coding
Peak_20665	chr8	57431325	57431584	+	107	NA	Intergenic	Intergenic	-24469	NM_009136	20284	Mm.12886	NM_009136	ENSMUSG00000031610	Scrg1	AW124307	scrapie responsive gene 1	protein-coding
Peak_16565	chr10	109008328	109008479	+	107	NA	intron (NM_001358502, intron 1 of 12)	intron (NM_001358502, intron 1 of 12)	708	NM_001358502	20979	Mm.289702	NM_009306	ENSMUSG00000035864	Syt1	AW124717|G630098F17Rik|SytI	synaptotagmin I	protein-coding
Peak_16582	chr10	115094277	115094532	+	107	NA	intron (NM_173391, intron 8 of 10)	Lx6|LINE|L1	90618	NM_173391	216343	Mm.31597	NM_173391	ENSMUSG00000006764	Tph2	AU043594|Ntph	tryptophan hydroxylase 2	protein-coding
Peak_20592	chr8	44875671	44875858	+	107	NA	Intergenic	Intergenic	-74444	NM_001081286	14107	Mm.27365	NM_001081286	ENSMUSG00000070047	Fat1	2310038E12Rik|AU023433|Fath|mFat1	FAT atypical cadherin 1	protein-coding
Peak_18928	chr2	20325167	20325436	+	107	NA	intron (NM_001081006, intron 1 of 21)	intron (NM_001081006, intron 1 of 21)	35388	NM_001081006	208618	Mm.237935	NM_029895	ENSMUSG00000036617	Etl4	6620402G01Rik|9430077C05Rik|BC026657|E330027G05Rik|Etl-4|Skt	enhancer trap locus 4	protein-coding
Peak_16975	chr1	14295740	14295874	+	107	NA	intron (NM_001252192, intron 2 of 16)	intron (NM_001252192, intron 2 of 16)	14392	NM_001310459	14048	Mm.250185	NM_010164	ENSMUSG00000025932	Eya1	bor	EYA transcriptional coactivator and phosphatase 1	protein-coding
Peak_19965	chr6	36803293	36803521	+	107	NA	intron (NM_008973, intron 1 of 4)	intron (NM_008973, intron 1 of 4)	6772	NM_008973	19242	Mm.279690	NM_008973	ENSMUSG00000029838	Ptn	HARP|HB-GAM|HBBM|HBBN|HBGF-8|HBNF|OSF|Osf-1|Osf1	pleiotrophin	protein-coding
Peak_17535	chr13	116311384	116311558	+	107	NA	Intergenic	Intergenic	-1783	NM_021459	16392	Mm.42242	NM_021459	ENSMUSG00000042258	Isl1	-	ISL1 transcription factor, LIM/homeodomain	protein-coding
Peak_18979	chr2	45159892	45160017	+	107	NA	Intergenic	Intergenic	-42512	NM_001355288	24136	Mm.440702	NM_015753	ENSMUSG00000026872	Zeb2	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b	zinc finger E-box binding homeobox 2	protein-coding
Peak_20948	chr9	31651938	31652169	+	107	NA	Intergenic	Intergenic	-187815	NM_144936	235135	Mm.390134	NM_144936	ENSMUSG00000041737	Tmem45b	BC018222	transmembrane protein 45b	protein-coding
Peak_16902	chr1	12616752	12616977	+	107	NA	Intergenic	Intergenic	-50699	NR_045297	329096	Mm.417782	NR_045297	ENSMUSG00000097171	Gm17644	4932411L15	predicted gene, 17644	ncRNA
Peak_19436	chr4	147526776	147526925	+	107	NA	Intergenic	Intergenic	-26427	NM_001014397	433804	Mm.332047	NM_001014397	ENSMUSG00000065999	Zfp985	Gm13154	zinc finger protein 985	protein-coding
Peak_18989	chr2	50977984	50978138	+	107	NA	Intergenic	MLT2B2|LTR|ERVL	68377	NR_033595	227885	Mm.301654	NR_033595	ENSMUSG00000083270	Gm13498	-	heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene	pseudo
Peak_18721	chr19	38275742	38275909	+	107	NA	intron (NM_020278, intron 2 of 7)	intron (NM_020278, intron 2 of 7)	11043	NM_020278	56839	Mm.298251	NM_020278	ENSMUSG00000067242	Lgi1	BB130740	leucine-rich repeat LGI family, member 1	protein-coding
Peak_16206	chr7	140059627	140060263	+	107	NA	Intergenic	Intergenic	-10857	NM_010836	17703	Mm.4816	NM_010836	ENSMUSG00000025469	Msx3	AI323377	msh homeobox 3	protein-coding
Peak_16266	chr15	58285103	58285213	+	107	NA	Intergenic	Intergenic	39011	NM_177755	268807	Mm.124498	NM_177755	ENSMUSG00000022357	Klhl38	8230402K04Rik	kelch-like 38	protein-coding
Peak_18458	chr17	81667386	81667547	+	107	NA	intron (NR_104580, intron 1 of 8)	intron (NR_104580, intron 1 of 8)	70921	NM_011406	20541	Mm.265834	NM_011406	ENSMUSG00000054640	Slc8a1	AI852629|AV344025|D930008O12Rik|Ncx1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein-coding
Peak_20322	chr8	108328332	108328512	+	107	NA	Intergenic	MLT1H1|LTR|ERVL-MaLR	256255	NR_077224	109215	Mm.65282	NR_077224	ENSMUSG00000110613	Lncbate1	3010033K07Rik|Lnc-BATE1	brown adipose tissue enriched long non-coding RNA 1	ncRNA
Peak_21301	chr3	49757483	49757736	+	107	NA	promoter-TSS (NM_130448)	promoter-TSS (NM_130448)	-293	NM_130448	73173	Mm.87246	NM_130448	ENSMUSG00000037892	Pcdh18	3110038E07Rik|BB095589|PCDH68L	protocadherin 18	protein-coding
Peak_21139	chrX	71502275	71502393	+	107	NA	Intergenic	Intergenic	-9485	NM_138309	171486	Mm.283879	NM_138309	ENSMUSG00000035776	Cd99l2	AW548191|Mic2l1|Xap89	CD99 antigen-like 2	protein-coding
Peak_19133	chr3	127465634	127465802	+	107	NA	intron (NM_001327938, intron 1 of 47)	PB1D11|SINE|Alu	33397	NM_001327938	109676	Mm.220242	NM_178655	ENSMUSG00000032826	Ank2	100043364|AI835472|AW491075|Ank-2|Gm4392	ankyrin 2, brain	protein-coding
Peak_18142	chr15	94630313	94630663	+	107	NA	intron (NM_178789, intron 1 of 7)	intron (NM_178789, intron 1 of 7)	1303	NM_178789	320709	Mm.74873	NM_178789	ENSMUSG00000063296	Tmem117	B930062P21Rik	transmembrane protein 117	protein-coding
Peak_21300	chr3	35061442	35061598	+	107	NA	Intergenic	Intergenic	-138869	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA
Peak_20763	chr8	79990118	79990249	+	107	NA	intron (NM_020259, intron 9 of 12)	intron (NM_020259, intron 9 of 12)	67825	NM_020259	15245	Mm.254493	NM_020259	ENSMUSG00000064325	Hhip	Hhip1	Hedgehog-interacting protein	protein-coding
Peak_17892	chr14	68325085	68325212	+	107	NA	Intergenic	Intergenic	-200144	NM_008691	18040	Mm.242832	NM_008691	ENSMUSG00000022054	Nefm	NF-M|NF160|NF165|Nef3|Nfm	neurofilament, medium polypeptide	protein-coding
Peak_16823	chr11	111848951	111849095	+	107	NA	Intergenic	B4A|SINE|B4	782859	NM_008425	16518	Mm.4951	NM_008425	ENSMUSG00000041695	Kcnj2	IRK1|Kcnf1|Kir2.1	potassium inwardly-rectifying channel, subfamily J, member 2	protein-coding
Peak_20596	chr8	45353834	45353961	+	107	NA	exon (NM_153535, exon 4 of 14)	exon (NM_153535, exon 4 of 14)	-20701	NM_133969	102294	Mm.245297	NM_133969	ENSMUSG00000079057	Cyp4v3	AU043077|AW111961|Cyp4v2	cytochrome P450, family 4, subfamily v, polypeptide 3	protein-coding
Peak_19703	chr5	38862768	38862896	+	107	NA	intron (NM_013748, intron 1 of 18)	intron (NM_013748, intron 1 of 18)	13861	NM_013748	27278	Mm.440845	NM_013748	ENSMUSG00000039315	Clnk	MIST	cytokine-dependent hematopoietic cell linker	protein-coding
Peak_18884	chr2	148060717	148060871	+	107	NA	Intergenic	Intergenic	-13825	NM_010446	15376	Mm.938	NM_010446	ENSMUSG00000037025	Foxa2	HNF3-beta|HNF3beta|Hnf-3b|Hnf3b|Tcf-3b|Tcf3b	forkhead box A2	protein-coding
Peak_18001	chr1	52758492	52758597	+	107	NA	Intergenic	MLTR11A|LTR|ERVK	-31186	NM_001357464	98682	Mm.491173	NM_133829	ENSMUSG00000041439	Mfsd6	2210010L05Rik|9630025I22Rik|AI836200|AW212394|MMR2	major facilitator superfamily domain containing 6	protein-coding
Peak_17472	chr12	95699031	95699258	+	107	NA	intron (NM_201518, intron 1 of 1)	intron (NM_201518, intron 1 of 1)	6918	NM_201518	399558	Mm.341948	NM_201518	ENSMUSG00000047414	Flrt2	-	fibronectin leucine rich transmembrane protein 2	protein-coding
Peak_20436	chr8	17286224	17286479	+	107	NA	intron (NM_053171, intron 1 of 69)	ORR1G|LTR|ERVL-MaLR	249034	NM_053171	94109	Mm.436988	NM_053171	ENSMUSG00000060924	Csmd1	B930082H09|mKIAA1890	CUB and Sushi multiple domains 1	protein-coding
Peak_19948	chr6	30953227	30953504	+	107	NA	Intergenic	Intergenic	5625	NM_001135093	619665	Mm.204671	NM_001135093	ENSMUSG00000073209	Klf14	5330411L03Rik|AL022736|BTEB5	Kruppel-like factor 14	protein-coding
Peak_20286	chr8	103353728	103353919	+	107	NA	Intergenic	Intergenic	-6289	NR_036588	69794	Mm.396139	NR_036588	ENSMUSG00000110340	1600027J07Rik	-	RIKEN cDNA 1600027J07 gene	ncRNA
Peak_18188	chr16	35640234	35640402	+	107	NA	intron (NM_013661, intron 4 of 21)	L1MC5|LINE|L1	98956	NM_013661	20357	Mm.42015	NM_013661	ENSMUSG00000052133	Sema5b	AI893641|SemG|Semag|mKIAA1445	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	protein-coding
Peak_20965	chr9	40736615	40736771	+	107	NA	intron (NM_133733, intron 1 of 6)	intron (NM_133733, intron 1 of 6)	50729	NM_133733	71566	Mm.280560	NM_133733	ENSMUSG00000032024	Clmp	9030425E11Rik|ACAM|ASP5|AW557819	CXADR-like membrane protein	protein-coding
Peak_17005	chr1	146496560	146496953	+	107	NA	promoter-TSS (NM_001145807)	promoter-TSS (NM_001145807)	-931	NM_001357572	215378	Mm.441817	NM_153539	ENSMUSG00000035131	Brinp3	B830045N13Rik|Fam5c	bone morphogenetic protein/retinoic acid inducible neural specific 3	protein-coding
Peak_18874	chr2	146579678	146579836	+	107	NA	Intergenic	L1MC3|LINE|L1	36826	NR_040502	74065	Mm.399508	NR_040502	ENSMUSG00000085796	4933406D12Rik	-	RIKEN cDNA 4933406D12 gene	ncRNA
Peak_17065	chr1	160061948	160062112	+	107	NA	intron (NM_001162896, intron 1 of 2)	intron (NM_001162896, intron 1 of 2)	15888	NR_038030	75255	Mm.414845	NR_038030	ENSMUSG00000026729	4930562F07Rik	-	RIKEN cDNA 4930562F07 gene	ncRNA
Peak_16595	chr10	119301843	119302045	+	107	NA	Intergenic	Intergenic	-18290	NR_126086	74905	Mm.399357	NR_126085	ENSMUSG00000112155	4930477N07Rik	-	RIKEN cDNA 4930477N07 gene	ncRNA
Peak_19272	chr3	51767430	51767583	+	107	NA	intron (NM_001004176, intron 2 of 4)	intron (NM_001004176, intron 2 of 4)	106327	NM_001310482	211666	Mm.24679	NM_174995	ENSMUSG00000074604	Mgst2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
Peak_16262	chr12	91402048	91402235	+	107	NA	intron (NM_011648, intron 1 of 9)	Lx8|LINE|L1	1148	NM_001113404	22095	Mm.173847	NM_011648	ENSMUSG00000020963	Tshr	AI481368|hypothroid|hyt|pet	thyroid stimulating hormone receptor	protein-coding
Peak_20715	chr8	68101023	68101245	+	107	NA	Intergenic	Intergenic	-126560	NM_177698	234353	Mm.32525	NM_027626	ENSMUSG00000030465	Psd3	4931420C21Rik|AI661273|BC003498|D430018P08|EFA6D	pleckstrin and Sec7 domain containing 3	protein-coding
Peak_20248	chr7	93059154	93059435	+	107	NA	Intergenic	Intergenic	-20585	NM_021427	58238	Mm.113787	NM_021427	ENSMUSG00000051515	Fam181b	A830059I20Rik|AB041569	family with sequence similarity 181, member B	protein-coding
Peak_19986	chr6	4630621	4630801	+	107	NA	intron (NM_145398, intron 11 of 17)	intron (NM_145398, intron 11 of 17)	29645	NM_145398	213819	Mm.270703	NM_145398	ENSMUSG00000015189	Casd1	Cas1|Cast1|SOAT	CAS1 domain containing 1	protein-coding
Peak_21191	chr7	113420487	113420618	+	107	NA	Intergenic	Intergenic	-31979	NM_020623	19226	Mm.284168	NM_020623	ENSMUSG00000059077	Pth	Pthp	parathyroid hormone	protein-coding
Peak_16275	chr6	127164624	127164820	+	107	NA	intron (NR_040275, intron 1 of 1)	L1M4|LINE|L1	-13674	NM_009829	12444	Mm.333406	NM_009829	ENSMUSG00000000184	Ccnd2	2600016F06Rik|AI256817|BF642806|C86853|Vin-1|Vin1|cD2	cyclin D2	protein-coding
Peak_21042	chr9	87014086	87014400	+	107	NA	Intergenic	Intergenic	-1294	NM_001037907	382089	Mm.92244	NM_001037907	ENSMUSG00000047897	Ripply2	C030002E08Rik|Gm1122	ripply transcriptional repressor 2	protein-coding
